
N,CABALLO  ,CAR.,GAN.,COL., 2nd , 3rd , 4th , %G , %C ,PREMIOS
1,NAVIA (IRE),5,2,3,2,1,0,40,60,40500
2,ABU,6,3,2,1,0,1,50,33,34400
3,PRAVIA,6,2,2,1,0,1,33,33,32600
4,NORAY (FR),4,2,1,0,0,1,50,25,32300
5,CABUERNIGA (GB),5,2,2,1,1,0,40,40,29600
6,GREAT PROSPECTOR (IRE),6,3,3,1,0,2,50,50,28800
7,ATEEM (FR),1,1,0,0,0,0,100,0,28000
8,AMEDEO MODIGLIANI (IRE),2,1,1,1,0,0,50,50,25200
9,CNICHT (FR),1,1,0,0,0,0,100,0,25000
10,RODABALLO (GB),2,2,0,0,0,0,100,0,25000
11,STELVIO (FR),1,1,0,0,0,0,100,0,21000
12,ATTY PERSSE (IRE),5,2,2,2,0,0,40,40,19200
13,ROYAL DANCER (GER),6,1,2,1,1,0,17,33,18600
14,BOSTON BRUIN (IRE),7,2,3,3,0,0,29,43,18300
15,PRINCE HAMLET (FR),1,1,0,0,0,0,100,0,18000
16,QATAR RIVER (FR),6,2,0,0,0,0,33,0,18000
17,OBANOS (IRE),5,3,1,1,0,0,60,20,18000
18,EL GUANCHE (FR),3,2,0,0,0,0,67,0,17000
19,SALAR ISLAND (ITY),5,2,2,0,0,2,40,40,16800
20,HARDPIA (FR),5,1,2,0,1,1,20,40,16600
21,ISKANDERHON (USA),1,1,0,0,0,0,100,0,16000
22,MADIDINA (FR),5,2,2,1,1,0,40,40,15900
23,TARANTELA (FR),3,0,2,2,0,0,0,67,15600
24,IRON ROCK (IRE),10,3,4,2,1,1,30,40,15300
25,URBAN ROCK (IRE),7,2,4,3,0,1,29,57,14950
26,DRAPER (IRE),6,2,2,1,1,0,33,33,14900
27,PORT GRIMAUD (IRE),10,2,5,2,3,0,20,50,14550
28,ARAB POET (GB),4,1,1,1,0,0,25,25,14400
29,VIRREY (GB),6,2,1,0,1,0,33,17,14300
30,LORDOFTHEHORIZON (FR),3,0,3,2,1,0,0,100,14000
31,WE KNOW (IRE),6,1,3,2,1,0,17,50,13800
32,BABA KARAM,6,2,2,1,1,0,33,33,13700
33,DOMI GO (IRE),2,2,0,0,0,0,100,0,13500
34,QUINCHIA (IRE),4,1,3,2,1,0,25,75,13500
35,TURANDOT,6,2,1,0,1,0,33,17,12900
36,BREY DE VALIENTE,8,2,4,1,2,1,25,50,12850
37,MUGUETAJARRA,6,2,3,1,1,1,33,50,12600
38,DEFERENCE (GB),6,2,3,1,1,1,33,50,12550
39,PELLIQUERO (FR),6,1,3,2,1,0,17,50,12500
40,PUTUMAYO (FR),3,0,2,1,1,0,0,67,12500
41,COLIBRI (IRE),5,2,2,1,0,1,40,40,12450
42,WINDY YORK (IRE),6,2,2,1,1,0,33,33,12300
43,COSTA ESMERALDA (FR),9,2,4,0,2,2,22,44,12100
44,TUNANTE,3,1,2,1,0,1,33,67,12050
45,REINA MADRE (IRE),1,1,0,0,0,0,100,0,12000
46,PARSIFAL,3,1,0,0,0,0,33,0,12000
47,ARENAL (IRE),5,2,1,0,0,1,40,20,11950
48,FINTAS (GB),4,1,2,1,0,1,25,50,11750
49,PUEYO (IRE),5,1,2,1,1,0,20,40,11700
50,RED MAN (FR),3,2,0,0,0,0,67,0,11500
51,SOMAHOZ (USA),6,1,4,2,2,0,17,67,11500
52,BRISCOLA (GB),7,2,3,1,2,0,29,43,11400
53,CEFIRO (IRE),2,1,1,0,1,0,50,50,11300
54,DOCTOR OSCAR,2,1,1,1,0,0,50,50,11300
55,TAGUAL (FR),7,1,5,2,1,2,14,71,10850
56,NEW JACK SWING (IRE),4,1,3,1,2,0,25,75,10700
57,MY FLINDERS (GB),3,1,1,0,1,0,33,33,10700
58,FEDERICO (GB),6,0,4,2,0,2,0,67,10650
59,ORZOWEI (GB),3,1,2,1,1,0,33,67,10600
60,POWERFUL SOLE (GB),5,1,3,1,1,1,20,60,10600
61,ALGAIDA (FR),3,3,0,0,0,0,100,0,10500
62,KING LUD (GB),4,2,0,0,0,0,50,0,10500
63,SO HI STORM (IRE),5,2,0,0,0,0,40,0,10500
64,RONEO (FR),7,2,3,0,1,2,29,43,10300
65,MELTING DEW (GB),4,0,4,2,1,1,0,100,10100
66,VALE (GB),3,1,0,0,0,0,33,0,10000
67,EMIN (IRE),3,0,1,1,0,0,0,33,10000
68,TRONIO,3,2,1,0,1,0,67,33,9900
69,TAZONES,5,0,4,1,2,1,0,80,9900
70,CUPPACOFFEE (IRE),7,1,1,0,1,0,14,14,9800
71,ALBORAN (FR),3,1,1,1,0,0,33,33,9800
72,RESACON (GB),4,0,3,1,2,0,0,75,9800
73,MACHU PICCHU,4,1,3,1,1,1,25,75,9650
74,MERISI (USA),4,2,2,1,1,0,50,50,9600
