,#,NOMBRE,PADRE,PREPARADOR,PROPIETARIO,VALOR,C.C,C.G,C.COL,GANANCIA
0,1,NAVIA (IRE),LOPE DE VEGA,G. Arizkorreta,Yeguada Rocio,42.5,5,2,3,"40,500 €"
1,2,ABU,RODERIC O'CONNOR,J.M. Osorio,Santa Bárbara,42.0,5,3,2,"34,400 €"
2,3,PRAVIA,DAWN APPROACH,G. Arizkorreta,Yeguada Rocio,41.0,4,2,2,"32,600 €"
3,4,NORAY (FR),NAAQOOS,E. Leon,Marques de Miraflores,44.0,3,2,1,"32,300 €"
4,5,CABUERNIGA (GB),TEOFILO,P. Olave,Bering,34.0,4,2,2,"29,600 €"
5,6,GREAT PROSPECTOR (IRE),ELZAAM,O. Anaya,Mallow Gran Canaria,45.5,6,3,3,"28,800 €"
6,7,ATTY PERSSE (IRE),FRANKEL,E. Leon,Marques de Miraflores,43.0,4,2,2,"28,200 €"
7,8,ATEEM (FR),DARK ANGEL,P&F Monfort,Ecurie Brillantissime,,1,1,0,"28,000 €"
8,9,AMEDEO MODIGLIANI (IRE),GALILEO,G. Arizkorreta,Yeguada Rocio,,2,1,1,"25,200 €"
9,10,RODABALLO (GB),LOPE DE VEGA,G. Arizkorreta,Pata Negra Racing,,2,2,0,"25,000 €"
10,11,CNICHT (FR),SILVER FROST,D. Henderson,Mr. Nicholas Hughes,,1,1,0,"25,000 €"
11,12,STELVIO (FR),STYLE VENDOME,J. Calderón,Nanina,,1,1,0,"21,000 €"
12,13,ROYAL DANCER (GER),AMARON,R. Martín V.,Martul,40.0,3,1,2,"18,600 €"
13,14,BOSTON BRUIN (IRE),KODIAC,J. Lopez,Enrique Fernández de Vega,38.0,5,2,3,"18,300 €"
14,15,PRINCE HAMLET (FR),SOMMERABEND,M. Delcher S.,Marques de Miraflores,,1,1,0,"18,000 €"
15,16,QATAR RIVER (FR),FRENCH FIFTEEN,B. Valentí,Rapier,41.0,2,2,0,"18,000 €"
16,17,OBANOS (IRE),PIVOTAL,E. Leon,Canter,42.0,4,3,1,"18,000 €"
17,18,EL GUANCHE (FR),POWER,A. Núñez,Toledo,43.5,2,2,0,"17,000 €"
18,19,SALAR ISLAND (ITY),SAKHEE'S SECRET,G. Arizkorreta,Nijinsky,41.0,4,2,2,"16,800 €"
19,20,HARDPIA (FR),CITYSCAPE,J.M. Osorio,El Fargue,41.0,3,1,2,"16,600 €"
20,21,ISKANDERHON (USA),EXCHANGE RATE,M. Delcher S.,Avaz Ismoilov,,1,1,0,"16,000 €"
21,22,MADIDINA (FR),MANDURO,R. Martín V.,Ecurie des Mouettes,,4,2,2,"15,900 €"
22,23,TARANTELA (FR),CAMELOT,G. Arizkorreta,Yeguada AGF,41.0,2,0,2,"15,600 €"
23,24,IRON ROCK (IRE),ROCK OF GIBRALTAR,H. Pereira,Os Coisas Doces,36.0,7,3,4,"15,300 €"
24,25,DRAPER (IRE),STARSPANGLEDBANNER,G. Arizkorreta,Plantagenet,35.0,4,2,2,"14,900 €"
25,26,HOLD ON NOW (IRE),FARHH,G. Arizkorreta,Yeguada Los Arcangeles,39.5,4,2,2,"14,700 €"
26,27,PORT GRIMAUD (IRE),DUTCH ART,M. Tellini,Shosholoza,30.0,8,2,6,"14,550 €"
27,28,URBAN ROCK (IRE),ROCK OF GIBRALTAR,M. Hernandez,Odon,39.0,5,2,3,"14,400 €"
28,29,ARAB POET (GB),POET'S VOICE,E. Leon,Rio Cubas,43.0,2,1,1,"14,400 €"
29,30,VIRREY (GB),DREAM AHEAD,G. Arizkorreta,Yeguada Rocio,41.5,3,2,1,"14,300 €"
30,31,LORDOFTHEHORIZON (FR),DANSILI,P. Olave,Santiago,42.0,3,0,3,"14,000 €"
31,32,WE KNOW (IRE),TEOFILO,E. Leon,Rio Cubas,39.5,4,1,3,"13,800 €"
32,33,BABA KARAM,BATED BREATH,O. Anaya,Reza Pazooki,38.5,4,2,2,"13,700 €"
33,34,QUINCHIA (IRE),CAMACHO,M. Alvarez,Celso Mendez,39.5,4,1,3,"13,500 €"
34,35,DOMI GO (IRE),IVAWOOD,R. Martín V.,Martul,,2,2,0,"13,500 €"
35,36,TURANDOT,ABDEL,G. Arizkorreta,Yeguada AGF,,3,2,1,"12,900 €"
36,37,BREY DE VALIENTE,SUNDAY BREAK,I. Lopez,Yeguada Valiente,33.5,6,2,4,"12,850 €"
37,38,MUGUETAJARRA,CARADAK,G. Arizkorreta,Yeguada Rocio,,5,2,3,"12,600 €"
38,39,RED LIGHT (FR),MORANDI,A. Imaz B.,Ecurie des Mouettes,,3,1,2,"12,600 €"
39,40,DEFERENCE (GB),SHOWCASING,O. Anaya,Tinerfe,37.0,5,2,3,"12,550 €"
40,41,PELLIQUERO (FR),TORONADO,J.A. Rodríguez,Cielo de Madrid,39.5,4,1,3,"12,500 €"
41,42,PUTUMAYO (FR),MYBOYCHARLIE,X. Thomas D.,Roberto Cocheteux,43.5,2,0,2,"12,500 €"
42,43,COLIBRI (IRE),REDOUTE'S CHOICE,L. Ennouni,Barra Sur,39.5,4,2,2,"12,450 €"
43,44,WINDY YORK (FR),VALE OF YORK,M. Tellini,Shosholoza,38.0,4,2,2,"12,300 €"
44,45,COSTA ESMERALDA (FR),NAAQOOS,M. Tellini,Zebra,38.0,6,2,4,"12,100 €"
45,46,TUNANTE,LIGHTNING MOON,J.A. Rodríguez,E. Perez Guzmán,,3,1,2,"12,050 €"
46,47,REINA MADRE (IRE),KINGMAN,A. Soto,Centurion,,1,1,0,"12,000 €"
47,48,PARSIFAL,RIP VAN WINKLE,G. Arizkorreta,Yeguada AGF,41.0,1,1,0,"12,000 €"
48,49,ARENAL (IRE),FOOTSTEPSINTHESAND,P. Olave,Feroz,33.5,3,2,1,"11,950 €"
49,50,DREAM OF WORDS (IRE),DREAM AHEAD,J.C. Cerqueira,Zul,40.0,3,1,2,"11,800 €"
50,51,FINTAS (GB),LOPE DE VEGA,E. Leon,Marques de Miraflores,,3,1,2,"11,750 €"
51,52,PUEYO (IRE),POUR MOI,R. Martín V.,Martul,37.0,3,1,2,"11,700 €"
52,53,RED MAN (FR),MANDURO,E. Leon,Rapier,42.0,2,2,0,"11,500 €"
53,54,SOMAHOZ (USA),VIOLENCE,P. Olave,Bering,36.0,5,1,4,"11,500 €"
54,55,BRISCOLA (GB),REDOUTE'S CHOICE,G. Arizkorreta,Tolosana,35.0,5,2,3,"11,400 €"
55,56,DOCTOR OSCAR,CARADAK,G. Arizkorreta,Sayago,40.5,2,1,1,"11,300 €"
56,57,CEFIRO (IRE),CLODOVIL,J.L. Maroto,La Toledana,43.5,2,1,1,"11,300 €"
57,58,TAGUAL (FR),FUISSE,A. Soto,LAC Internacional,32.0,6,1,5,"10,850 €"
58,59,MY FLINDERS (GB),TORONADO,G. Arizkorreta,Norris Bloodstock,37.5,2,1,1,"10,700 €"
59,60,NEW JACK SWING (IRE),DANDY MAN,O. Anaya,Reza Pazooki,35.5,4,1,3,"10,700 €"
60,61,FEDERICO (GB),ACCLAMATION,E. Leon,William Armitage,39.5,4,0,4,"10,650 €"
61,62,ORZOWEI (GB),BATED BREATH,L. Ennouni,Florines,41.0,3,1,2,"10,600 €"
62,63,POWERFUL SOLE (FR),SIR PERCY,E. Buzón,Agrado,41.0,4,1,3,"10,600 €"
63,64,KING LUD (GB),CAPE CROSS,J.M. Osorio,La Toledana,36.0,2,2,0,"10,500 €"
64,65,ALGAIDA (FR),MUHTATHIR,G. Arizkorreta,Fuente El Sol,34.5,3,3,0,"10,500 €"
65,66,SO HI STORM (IRE),HOLY ROMAN EMPEROR,J.C. Cerqueira,Mediterraneo,34.5,2,2,0,"10,500 €"
66,67,RONEO (FR),ROCK OF GIBRALTAR,M. Gomes,O Torrón,31.0,5,2,3,"10,300 €"
67,68,MELTING DEW (GB),CACIQUE,O. Anaya,Tinerfe,,4,0,4,"10,100 €"
68,69,VALE (GB),VALE OF YORK,M&M Racing,Bolak,41.5,1,1,0,"10,000 €"
69,70,EMIN (IRE),CAMELOT,E. Leon,Marques de Miraflores,45.5,1,0,1,"10,000 €"
