,Puesto,Caballo,Peso,Edad,Dist.,Mant.,Divid.,Propietario,Preparador,Jinete,Terreno,Distancia,Tipo,Tiempo,CodCarrera,CodDia,ganador
0,1,ARENAL (IRE),5800,3,,1,350,FEROZ,P.OLAVE,J.L. BORREGO,H-Bueno,1400,Liso,85,44038,20190303,1
1,2,QUINCHIA (IRE),5650,3,CABEZA,9,1440,COCHETEUX,M.ALVAREZ,J.GELABERT,H-Bueno,1400,Liso,85,44038,20190303,0
2,3,TAZONES,5800,3,1 C 3/4,8,1380,YEGUADA ROCIO,G.ARIZKORRETA,V. JANACEK,H-Bueno,1400,Liso,85,44038,20190303,0
3,4,COSSIO,5800,3,2 C 1/4,3,230,INCITATUS RACING,M.AUGELLI,J.L. MARTINEZ,H-Bueno,1400,Liso,85,44038,20190303,0
4,5,RED HUT RED (IRE),5650,3,1 C 1/2,10,1170,DARIUSH KHAN,O.ANAYA,M.E.FERNANDEZ,H-Bueno,1400,Liso,85,44038,20190303,0
5,6,YANEDA (GB),5650,3,CUELLO,11,2090,ZURRAQUIN,M.HERNANDEZ,B. FAYOS,H-Bueno,1400,Liso,85,44038,20190303,0
6,7,GRISGRISES (FR),5800-5650,3,1 C,6,860,SALVADOR MARQUEZ,J.L.MAROTO,I.MELGAREJO,H-Bueno,1400,Liso,85,44038,20190303,0
7,8,GANDALF (FR),5800,3,2 C 1/4,5,2190,ROYAL GAIT,J.A.RODRIGUEZ,J. GROSJEAN,H-Bueno,1400,Liso,85,44038,20190303,0
8,9,RULER OF GLAD (IRE),5800,3,7 C 3/4,7,1880,ALISARES,G.MADERO,R. SOUSA,H-Bueno,1400,Liso,85,44038,20190303,0
9,10,BUBBLE GUM (IRE),5800,3,17 C 1/4,2,2050,POPURRI,M.J.PEREZ,A.FIORI,H-Bueno,1400,Liso,85,44038,20190303,0
10,97,FLASH OF POWER (GB),5800,3,,4,0,EL PLACAJE,L. ENNOUNI,F. JIMENEZ A.,H-Bueno,1400,Liso,85,44038,20190303,0
0,1,RENATA (FR),6000,4,,3,400,YEGUADA AGF,G.ARIZKORRETA,V. JANACEK,H-Bueno,1800,Liso,111,44042,20190303,1
1,2,MARIA BRAVA,5400,5,1 C 3/4,8,940,CELSO MENDEZ,M.ALVAREZ,J.GELABERT,H-Bueno,1800,Liso,111,44042,20190303,0
2,3,NEW EMPIRE (GB),6200,4,3/4 C,1,1040,LA CINCHA,J.C.CERQUEIRA,R.N.VALLE,H-Bueno,1800,Liso,111,44042,20190303,0
3,4,TOMMY'S BOY (FR),5600,7,1 C 3/4,7,1590,SILVER,D.TEIXEIRA,F. JIMENEZ A.,H-Bueno,1800,Liso,111,44042,20190303,0
4,5,FORBAIFOR,6050-5950,5,1 C 1/2,2,1220,ARTEMIS,J.LOPEZ,I.MELGAREJO,H-Bueno,1800,Liso,111,44042,20190303,0
5,6,QUEEN OF MARMELADE (FR),5850,4,6 C,5,360,MAIA LIDADOR,H.OLIVEIRA,R. SOUSA,H-Bueno,1800,Liso,111,44042,20190303,0
6,7,CATSKILL FLYER (GB),5200-5300,4,4 C 1/4,11,4060,DELTA,M.A.MARIN,E. ARGUINZONES,H-Bueno,1800,Liso,111,44042,20190303,0
7,8,KALIMA,5950,4,2 C 1/4,4,890,CIELO DE MADRID,J.A.RODRIGUEZ,E. CORALLO,H-Bueno,1800,Liso,111,44042,20190303,0
8,9,LADY LOLA,5350,5,6 C 1/4,9,1620,BRAZACORTA,B.RAMA,N. DE JULIAN,H-Bueno,1800,Liso,111,44042,20190303,0
9,10,LITTLEBECK LADY (GB),5750,5,13 C 1/4,6,580,JIMENA,B.RAMA,B. FAYOS,H-Bueno,1800,Liso,111,44042,20190303,0
10,97,SEVERO (FR),5300,5,,10,0,CAN FARELL,P. P. DIAZ,M.E.FERNANDEZ,H-Bueno,1800,Liso,111,44042,20190303,0
